"Key","Meaning1","Meaning2","Meaning3","Meaning4","user_id"
"Agresar","अग्रेसर","leading","foremost","prominent",""
"Aghatit","अघटित","untowar","","",""
"Aghalpaghal","अघलपघल","spacious","garrulous","loquacious",""
"Aghori","अघोरी","horrible","dreadful","monstrous",""
"Aghoshit","अघोषित","undeclared","","",""
"Anghol","अंघोळ","bath","bathing","",""
"Achkatvichkat","अचकटविचकट","obscene","bawdy","vulgar",""
"Achamba","अचंबा","wonder","amazement","a marvel",""
"Achambit","अचंबित","surprised","astonished","astounded",""
"Achal","अचल","steady","stable","stationary",""
"Achat","अचाट","prodigious","superhuman","amazing",""
"Achanak","अचानक","suddenly","unexpectedly","unawares",""
"Achirsthayi","अचीरस्थायी","transitory","impermanent","ephemeral",""
"Achuk","अचूक","accurate","exact","correct",""
"Achetan","अचेतन","inanimate","inert","lifeless",""
"Ajagar","अजगर","a boa constrictor","","",""
"Anjan","अंजन","balm","collyrium","",""
"Ajab","अजब","fantastic","marvellous","strange",""
"Ajabkhan","अजबखान","a museum","","",""
"Ajmavane","अजमावणे","to try","try out","test",""
"Ajmaas","अजमास","estimate","","",""
"Ajmaase","अजमासे","roughly","approximately","",""
"Ajaramar","अजरामर","immortal","eternal","deathless",""
"Ajastra","अजस्त्र","huge","giant","mammoth",""
"Ajagal","अजागळ","unkempt","untidy","shabby",""
"Ajaan ","अजाण","innocent","ignorant","unknowing",""
"Ajaminpatra","अजामीनपात्र","non-bailable","","",""
"Ajinkya","अजिंक्य","invincible","unconquerable","unbeatable",""
"Ajinkyapad","अजिंक्यपद","championship","","",""
"Ajit","अजित","unconquered","unbeaten","",""
"Ajibaat","अजिबात","at all","","",""
"Anjir","अंजीर","a fig","","",""
"Anjirna","अंजीर्ण","indigestion","","",""
"Ajun","अजून","still","yet","as yet",""
"Ajeya","अजेय","invincible","unconquerable","unbeatable",""
"Atitaticha","अटीतटीचा","close","neck and neck","",""
"Ativirahit","अटीविरहित","a condition","qualification","stipulation",""
"Attal","अट्टल","inveterate","seasoned","hardened",""
"Attahas","अट्टाहास","insistence","","",""
"Athara","अठरा","eighteen","","",""
"And","अंड","a testicle","","",""
"Adakane","अडकणे","to get caught","to be stuck","to get stuck",""
"Adkitta","अडकित्ता","nutcrackers","","",""
"Andkosh","अंडकोश","the scrotum","","",""
"Adkhalane","अडखळणे","to falter","stumble","hesitate",""
"Adagal","अडगळ","lumber","junk","",""
"Adachan","अडचण","a difficulty","problem","trouble",""
"Adani","अडाणी","a tripod","stand","",""
"Adane","अडणे","to be hell bent","be determined","",""
"Adat","अडत","an agency","","",""
"Adatya","अडत्या","an agent","middleman","broker",""
"Adthale","अडथळा","an obstacle","hurdle","block",""
"Adnaav","आडनाव","surname","last name","family name",""
"Adnid","अडनीड","awkward","inconvenient","difficult",""
"Admutha","अडमुठा","difficult","wilful","stuborn",""
"Adalela","अडलेला","bent","intent","adamant",""
"Adavnuk","अडवणूक","obstruction","","",""
"Adavane","अडवणे","to stop","keep from","block",""
"Andvruddhi","अंडवृद्धी","hydrocele","","",""
"Adasar","अडसर","an impediment","obstacle","a bolt",""
"Andakar","अंडाकार","oval","egg-shaped","eplliptical",""
"Adaani","अडाणी","ignorant","unlettered","untaught",""
"Andashay","अंडाशय","ovary","","",""
"Adiadachan","अडीअडचण","a difficulty","","",""
"Adig","अडीग","bent","hell bent","",""
"Adhich","अडीच","two and a half","","",""
"Andil","अंडील","uncastrated","","",""
"Ande","अंडे","an egg","spawn","roe",""
"Adel","अडेल","obstinate","","",""
"Adeltattu","अदेलतट्टू","obstinate","pigheaded","mulish",""
"Adda","अड्डा","a haunt","meeting place","favourite spot",""
"Aadhal","आढळ","firm","","",""
"Anakuchi","अणकुची","a sharp point","","",""
"Anavani","अणवाणी","bare","barefoot","barefooted",""
"Ani","अणी","a tip","point","",""
"Anidar","अणीदार","pointed","angular","",""
"Anu","अणु","an atom","particle","",""
"Anvastra","अण्वस्त्र","a nuclear bomb","atomic weapon","nuke",""
"Ant","अंत","end","conclusion","termination",""
"Antakaran","अंत:करण","heart","conscience","soul",""
"Antakaal","अंतकाल","the hour of death","time of death","",""
"Antata","अंतत:","finally","at last","in the end",""
"Antaprerana","अंत:प्रेरणा","intuition","hunch","inspiration",""
"Antar","अंतर","distance","space","gap",""
"Antarang","अंतरंग","the inside","the interior","the heart",""
"Antaratma","अंतरात्मा","inner soul","spirit","heart",""
"Antarabhimukh","अंतराभिमुख","introvert","introverted","inward",""
"Antraal","अंतराळ","the space","","",""
"Antarim","अंतरिम","interim","","",""
"Antariksha","अंतरिक्ष","the space","","",""
"Antarkalah","अंतर्कलह","infighting","internal","conflict",""
"Atarkya","अतर्क्य","inscrutable","unfathomable","",""
"Antargat","अंतर्गत","internal","inner","domestic",""
"Antargal","अंतर्गळ","hernia","rupture","",""
"Antargol","अंतर्गोल","concave","","",""
"Antardrushti","अंतर्दृष्टी","insight","","",""
"Antardeshiy","अंतर्देशीय","inland","","",""
"Antarbhut","अंतर्भूत","included","","",""
"Antarman","अंतर्मन","inner heart","","",""
"Antarmukh","अंतर्मुख","introvert","introverted","inward",""
"Antaryam","अंतर्याम","heart","","",""
"Antarvakra","अंतर्वक्र","concave","","",""
"Antarvastra","अंतर्वस्त्र","an undergarment","","",""
"Antardnyan","अंतर्ज्ञान","intuition","","",""
"Antasamay","अंतसमय","the hour of death","time of death","",""
"Antastha","अंतःस्थ","ulterior","inner","",""
"Antasfurti","अंत:स्फूर्ती","intuition","inspiration","",""
"Antahin","अंतहीन","endless","without end","",""
"Ati","अति","extreme","excessiveness","highly",""
"Ati Atmavishwas","अति आत्मविश्वास","over confidence","","",""
"Atiuncha","अतिउंच","tall","high","exalted",""
"Atiuccha","अतिउच्च","high","noble","lofty",""
"Atikram","अतिक्रम","intrusion","","",""
"Atikraman","अतिक्रमण","trespass","transgression","encrouchment",""
"Atijalad","अतिजलद","superfast","","",""
"Atithi","अतिथी","a guest","","",""
"Atinil","अतिनील","ultraviolet","","",""
"Atinaisargik","अतिनैसर्गिक","supernatural","","",""
"Atiparichit","अतिपरिचित","overfamiliarity","","",""
"Atipriya","अतिप्रिय","beloved","","",""
"Atibhautik","अतिभैतीक","supernatural","","",""
"Antim","अंतिम","last","final","ultimate",""
"Atimanav","अतिमानव","a superhuman","","",""
"Atimanavi","अतिमानवी","superhuman","","",""
"Atirikt","अतिरिक्त","extra","additional","added",""
"Atireki","अतिरेकी","a terrorist","extremist","",""
"Ativayaska","अतिवयस्का","overage","","",""
"Atividnyan","अतिविज्ञान","metaphysics","","",""
"Ativrushti","अतिवृष्टी","heavy rains","","",""
"Atishay","अतिशय","very ","extremely","very much",""
"Atishayokti","अतिशयोक्ती","exaggeration","hyperbola","overstatement",""
"Atishahana","अतिशहाणा","too clever by half","","",""
"Atishram","अतिश्रम","overwork","","",""
"Atisaar","अतिसार","diarrhoea","","",""
"Atisukshma","अतिसूक्ष्म","ultra-microscope","","",""
"Anti","अंती","in the end","at the end of","",""
"Atit","अतीत","past","gone","bygone",""
"Atindriya","अतींद्रिय","extra-sensory perception","","",""
"Ativ","अतीव","extreme","excessive","immense",""
"Atul","अतुल","incomparable","unrivalled","unequalled",""
"Atut","अतूट","inseperable","inalienable","abiding",""
"Atrupt","अतृप्त","unsatisfied","discontented","dissatisfied",""
"Atonat","अतोनात","excessive","immense","",""
"Attar","अत्तर","perfume","scent","",""
"Antya","अंत्य","last","final","",""
"Atykarm","अत्यकार्म","funeral rites","obsequies","",""
"Atyanj","अत्यंज","a last-born","","",""
"Atyant","अत्यंत","very ","very much","extremely",""
"Antyayatra","अंत्ययात्रा","a funeral procession","cortege","",""
"Atyalp","अत्यल्प","minimal","marginal","scanty",""
"Atyavastha","अत्यवस्थ","critical","serious","",""
"Antyavidhi","अंत्याविधी","funeral rites","obsequies","",""
"Atyachaar","अत्याचार","oppression","atrocity","voilence",""
"Atyachaari","अत्याचारी","oppressive","tyrannical","despotic",""
"Atyadhunik","अत्याधुनिक","ultra-modern","sophisticated","trendy",""
"Atyanand","अत्यानंद","ecstasy","euphoria","rapture",""
"Atyavashyak","अत्यावश्यक","essential","indispensible","vital",""
"Atyuccha","अत्युच्च","sublime","exalted","lofty",""
"Atyuttam","अत्युत्तम","super","fantastic","excellent",""
"Antyeshthi","अंत्येष्टी","last rites","funeral rites","obsequies",""
"Ath","अथ","a beginning","start","",""
"Athak","अथक","tireless","ceaseless","infatigable",""
"Antharane","अंथरणे","a spread","spread out","lay",""
"Antharun","अंथरूण","a bed","bedding","",""
"Athava","अथवा","or","","",""
"Athaang","अथांग","bottomless","fathomless","",""
"Admaas","अदमास","guess","conjecture","approximation",""
"Adalaabadal","अदलाबदल","exchange","interchange","barter",""
"Andaaj","अंदाज","a guess","guesswork","guesstimate",""
"Andaajpatrak","अंदाजपपत्रक","budget","","",""
"Andaaje","अंदाजे","about","at a guess","approximately",""
"Andaadhund","अंदाधुंद","frantic","wild","",""
"Adrushya","अदृश्य","invisible","unseeable","hidden",""
"Adrushta","अदृष्ट","fate","destiny","unseen",""
"Addal","अद्दल","a lesson","","",""
"Adbhut","अद् भूत","miraculous","wonderful","wondrous",""
"Adbhutkatha","अद् भूतकथा","a fable","","",""
"Adyaap","अद्याप","still ","yet","hitherto",""
"Adyaapi","अद्यापि","still ","yet","hitherto",""
"Adravya","अद्राव्य","insoluble","","",""
"Advitiya","अद्वितीय","incomparable","inimitable","unique",""
"Advait","अद्वैत","oneness","unity","",""
"Andh","अंध","blind","sightless","",""
"Andhakaar","अंधकार","darkness","dark","gloom",""
"Adhapatan","अध:पतन","fall","downfall","collapse",""
"Adham","अधम","low","mean","base",""
"Adhar","अधर","in the air","in midai ","ventral",""
"Andharoshtha","अंधरोष्ट","the lower lip","","",""
"Adharm","अधर्म","sin","injustic","",""
"Adharmi","अधर्मी","sinful","irreligious","",""
"Andhashraddha","अंधश्रद्धा","superstitious","blind faith","",""
"Andhavishwas","अंधविश्वास","superstitious","an old wives tale","",""
"Aandhala","आंधळा","blind","","",""
"Adhantari","अधांतरी","in the air","in the midair","midair",""
"Andhanukaran","अंधानुकारण","blind imitation","","",""
"Andhaar","अंधार","darkness","dark","gloom",""
"Andhaarkothadi","अंधारकोठडी","dungeon","","",""
"Adharmik","अधार्मिक","irreligious","secular","profane",""
"Adhaashi","अधाशी","greedy","gluttonous","voracious",""
"Adhik","अधिक","additional","extra","further",""
"Adhiktam","अधिकतम","highest","maximum","",""
"Adhikadhik","अधिकाधिक","increasingly","progressively","more and more",""
"Adhikar","अधिकार","authority","power ","right",""
"Adhikari","अधिकारी","officer","authority","official",""
"Adhikansh","अधिकांश","the majority of","the greator part off","most of",""
"Adhikrut","अधिकृत","authorised","accredited","official",""
"Adhikendra","अधिकेंद्र","epicentre","","",""
"Adhikosh","अधिकोष","a bank","","",""
"Adhigrahan","अधिग्रहण","requisitioned","","",""
"Adhiniyam","अधिनियम","an act","","",""
"Adhinirnay","अधिनिर्णय","a ruling","","",""
"Adhipati","अधिपती","a monarch","sovereign","ruler",""
"Adhipatya","अधिपत्य","command","supremacy","mastery",""
"Adhipatra","अधिपत्र","a warrant","","",""
"Adhibhaar","अधिभार","a surcharge","","",""
"Adhimaan","अधिमान","preference","priority","",""
"Adhimulya","अधिमुल्य","a premium","","",""
"Adhirajya","अधिराज्य","dominion","","",""
"Adhivakta","अधिवक्ता","an advocate","","",""
"Adhisuchana","अधिसूचना","notification","","",""
"Adhisevak","अधिसेविका","matron","","",""
"Adhikshetra","अधिक्षेत्र","domain","","",""
"Adhin","अधीन","subject","dependent","",""
"Adhir","अधीर","impatient","","",""
"Adhikshak","अधीक्षक","a superintendent","supervisor","",""
"Adhikshan","अधीक्षण","superintendence","","",""
"Adhu","अधु","crippled","disabled","maimed",""
"Adhoo","अधू","crippled","disabled","maimed",""
"Andhuk","अंधुक","dim","dull","dusky",""
"Adhunmadhun","अधूनमधून","occasionally","now and then","from time to time",""
"Andhernagari","अंधेरनगरी","anarchy","lawlessness","",""
"Andheri","अंधेरी","dizziness","giddiness","vertigo",""
"Adhogati","अधोगती","degeneration","deterioration","decline",""
"Adhobindu","अधोबिंदू","the nadir","","",""
"Adhomukh","अधोमुख","downward","","",""
"Adhorekha","अधोरेखा","an underline","","",""
"Adhyayan","अध्ययन","study","","",""
"Adhyarpan","अध्यार्पण","surrender","","",""
"Adhyaksha","अध्यक्ष","the chair","chairman","chairperson",""
"Adhyatma","अध्यात्म","spiritually","","",""
"Adhyatmik","अध्यात्मिक","spritual","","",""
"Adhyadesh","अध्यादेश","an ordinance","","",""
"Adhyapak","अध्यापक","a teacher","instrucor","",""
"Adhyaay","अध्याय","a chapter","lesson","",""
"Adhyaropit","अध्यारोपित","superimposed","","",""
"Andhikrut","अनधिकृत","unofficial","unauthorized","",""
"Ananas","अननस","pineapple","","",""
"Ananya","अनन्य","unique","","",""
"Ananyasadharan","अनन्यसाधारण","unique","exceptional","",""
"Ananvit","अनन्न्वित","inordinate","excessive","",""
"Anpekshit","अनपेक्षित","unexpected","unforeseen","sudden",""
"Anbhidnya","अनभिज्ञ","ignorant","unawareness","",""
"Anmol","अनमोल","priceless","precious","valuable",""
"Anartha","अनर्थ","a disaster","catastrophe","havoc",""
"Anarthakari","अनर्थकारी","catastrophic","disastarious","",""
"Anavadhan","अनवधान","inattention","inadversence","",""
"Anavani","अनवाणी","bare","barefoot","barefooted",""
"Anakarshan","अनाकर्षण","dull","drab","dry",""
"Anakalaniy","अनाकलनीय","incomprehensible","ungraspable","mysterious",""
"Anagondi","अनागोंदी","anarchy","lawlessness","misrule",""
"Anachar","अनाचार","immorality","debauchery","",""
"Anathayi","अनाठायी","inappropriate","inadvisable","vain",""
"Anaadi","अनाडी","ignorant","illiterate","",""
"Anaath","अनाथ","orphaned","","",""
"Anaathashram","अनाथाश्रमाम","an orphanage","","",""
"Anaadar","अनादर","disrespect","irreverence","contempt",""
"Anaadi","अनादी","timeless","eternal","",""
"Anaamat","अनामत","a deposit","","",""
"Anaamantrit","अनामंत्रित","univited","","",""
"Anaamik","अनामिक","anon","anonymous","nameless",""
"Anayase","अनायासे","effortlessly","","",""
"Anavadhaan","अनावधान","inattention","inadversence","",""
"Anavaran","अनावरण","unveiling","","",""
"Anavarti","अनावर्ती","non-recurring","","",""
"Anavashyak","अनावश्यक","unnecessary","unneeded","unrequired",""
"Anaavrut","अनावृत","bare","open","uncovered",""
"Anaastha","अनास्था","apathy","","",""
"Anaahut","अनाहूत","uninvited","","",""
"Anichcha","अनिच्छा","reluctance","unwillingness","indisposition",""
"Anitya","अनित्य","impermanent","mortal","transient",""
"Aniyantrit","अनियंत्रित","uncontrolled","","",""
"Aniyamit","अनियमित","irregular","fitful","",""
"Aniyojit","अनियोजित","unplanned","","",""
"Anirnayak","अनिर्णायक","inconclusive","","",""
"Anirnit","अनिर्णित","undecided","indecisive","pending",""
"Anirbandh","अनिर्बंध","unchecked","unrestairned","absolute",""
"Anirvarya","अनिवार्य","compulsary","indispensible","mandatory",""
"Anivasi","अनिवासी","non-resident","","",""
"Anishchit","अनिश्चित","indefinite","uncertain","undecided",""
"Aniti","अनीती","immorality","debauchery","wickedness",""
"Anirshvarvaad","अनीश्वारवाद","atheism","","",""
"Anukampa","अनुकंपा","compassion","pity","sympathy",""
"Anukarniy","अनुकरणीय","imitable","exemplary","",""
"Anukaranshil","अनुकरणशील","imitative","","",""
"Anukaran","अनुकरण","imitiation","","",""
"Anukul","अनुकूल","favourable","sutiable","well-disposed",""
"Anukram","अनुक्रम","order","sequence","",""
"Anukramanika","अनुक्रमणिका","contents","table of contents","index",""
"Anukrame","अनुक्रमे","respectively","","",""
"Anugrah","अनुग्रह","favour","","",""
"Anuchit","अनुचित","improper","imappropriate","unsutiable",""
"Anuccharit","अनुच्चारित","unutterable","","",""
"Anutupt","अनुतप्त","unuttered","","",""
"Anupaat","अनुपात","repetance","","",""
"Anuttarit","अनुत्तरित","unanswered","","",""
"Anuttirn","अनुतीर्ण","failed","","",""
"Anutsuk","अनुत्सुक","indifference","apathy","lethargy",""
"Anudaan","अनुदान","grant","aid","",""
"Anunay","अनुनय","appeasement","","",""
"Anunaad","अनुनाद","onomatopoeia","","",""
"Anupam","अनुपम","incomparable","unique","excellent",""
"Anupalabdha","अनुपलब्ध","unavailable","","",""
"Anupalabdha","अनुपलब्ध","unavailable","","",""
"Anupaat","अनुपात","ratio","proporation","",""
"Anupras","अनुप्रास","alliteration","","",""
"Anubandh","अनुबंध","association","","",""
"Anubhav","अनुभव","experience","nightmare","",""
"Anubhavi","अनुभवी","experienced","skilled","well-versed",""
"Abubhut","अनुभूत","tried","tested","experienced",""
"Anunati","अनुमती","assent","consent","proval",""
"Anumaan","अनुमान","deduction","inference","conclusion",""
"Anumey","अनुमेय","deduciable","","",""
"Anumodak","अनुमोदक","a seconder","","",""
"Anuyayi","अनुयायी","a follower","disciple","acolyte",""
"Anuraag","अनुराग","love","attachment","affection",""
"Anurup","अनुरूप","sutiable","suited","compatible",""
"Anurodh","अनुरोध","drift","","",""
"Anullaghaniy","अनुल्लंघनीय","invoilable","infrangable","insurmountable",""
"Anuvansha","अनुवंश","heredity","","",""
"Aanuvanshik","आनुवंशिक","heredity","","",""
"Anuvaad","अनुवाद","translation","","",""
"Anushang","अनुषंग","connection","association","",""
"Anusarun","अनुसरण","following","imitiating","",""
"Anusaar","अनुसार","according to","in accordance with","in compliance",""
"Anusuchit","अनुसूचित","scheduled","listed","",""
"Anudnya","अनुज्ञा","consent","permission","",""
"Anek","अनेक","many","several","numerous",""
"Anekvachan","अनेकवचन","the plural number","","",""
"Anekvidh","अनेकविध","manifold","various","many different",""
"Anekeshwarvad","अनेकेश्वरवाद","polytheism","","",""
"Anaichchik","अनैच्छिक","involuntary","","",""
"Anaitik","अनैतिक","immoral","depraved","degenerate",""
"Anaisargik","अनैसर्गिक","unnatural","artificial","stilted",""
"Anokha","अनोखा","novel","new","marvellous",""
"Anolakhi","अनोळखी","new","strange","unfamiliar",""
"Anna","अन्न","food","","",""
"Anya","अन्य","other","","",""
"Anyatra","अन्यत्र","elsewhere","","",""
"Anyatha","अन्यथा","or","else","otherwise",""
"Anyaay","अन्याय","injustice","wrong","partially",""
"Anyaaykarak","अन्यायकारक","unfair","","",""
"Anyaayi","अन्यायी","unjust","unfair","oppresive",""
"Anyokti","अन्योक्ती","allegory","","",""
"Anyonya","अन्योन्य","mutual","reciprocal","",""
"Anvaye","अन्वये","in accordance with","","",""
"Anyeshan","अन्वेषण","investigation","search","enquiry",""
"Apkarsha","अपकर्ष","deterioration","decline","",""
"Apkarak","अपकारक","harmful","hurtful","injurious",""
"Apkirti","अपकीर्ती","defamation","discredit","disgrace",""
"Apakva","अपक्व","unripe","raw","green",""
"Apang","अपंग","crippled","disabled","handicapped",""
"Apaghat","अपघात","an accident","mishap","",""
"Apachan","अपचन","indigestion","dyspepsia","",""
"Apatya","अपत्य","issue","offspring","",""
"Apprachaar","अपप्रचार","false propaganda","","",""
"Apbhrash","अपभ्रंश","corruption","corrupt form","",""
"Apbhrasht","अपभ्रष्ट","corrupt","degenerate","",""
"Apamaan","अपमान","insult","affront","slight",""
"Apamankarak","अपमानकारक","insulting","humiliating","degrading",""
"Apmrutyu","अपमृत्यू","untimely death","","",""
"Apayash","अपयश","failure","","",""
"Aparampaar","अपरंपार","infinite","endless","boundless",""
"Aparajit","अपराजित","undefeated","unbeaten","unconquered",""
"Aparatra","अपरात्र","a latter part of night","","",""
"Aparadh","अपराध","a crime","offence","felony",""
"Aparadhi","अपराधी","a criminal","culprit","offender",""
"Aparichit","अपरिचित","unfamiliar","strange","unknown",""
"Aparinit","अपरीणीत","unmarried","","",""
"Aparipakva","अपरिपक्व","immature","","",""
"Apariharya","अपरिहार्य","compulsary","unavoidable","",""
"Aparup","अपरूप","strange","rare","",""
"Aparoksha","अपरोक्ष","behind one's back","in one's absence","",""
"Aparyapt","अपर्याप्त","inadequate","insufficient","",""
"Apalaap","अपलाप","perversion","distortion","",""
"Apavaad","अपवाद","an exception","a special case","",""
"Apavaadatmak","अपवादात्मक","exceptional","unusual","uncomman",""
"Apavitra","अपवित्र","unholy","profane","",""
"Apavyay","अपव्यय","wastage","waste","dissipation",""
"Apashakun","अपशकून","a bad omen","ill omen","",""
"Apashabd","अपशब्द","a swear word","abuse","curse",""
"Apasmaar","अपस्मार","epilepsy","","",""
"Apaharan","अपहरण","abduction","kidnapping","",""
"Apaharta","अपहार्ता","a kidnapper","abductor","",""
"Apahrut","अपहृत","abducted","kidnapped","",""
"Apaksha","अपक्ष","independent","impartial","",""
"Apaatra","अपात्र","ineligaible","unfit","undeserved",""
"Appay","अपाय","injury","harm","hurt",""
"Apaaykarak","अपायकारक","harmful","bad","injurious",""
"Apaar","अपार","infinite","limitness","boundless",""
"Apaardarshak","अपारदर्शक","opaque","non-transparent","",""
"Apura","अपुरा","inadequate","insufficient","incomplete",""
"Apurn","अपूर्ण","imperfect","deficient","incomplete",""
"Apurvai","अपूर्वाई","novelty","singularity","",""
"Apeshi","अपेशी","expectation","anticipation","hope",""
"Apekshapurti","अपेक्षापूर्ती","a fullfillment of one's expectation","","",""
"Apekshabhang","अपेक्षाभंग","disappointment","","",""
"Apekshine","अपेक्षिणे","to anticipate","look forward to","",""
"Aprakat","अप्रकट","latent","unmanifested","",""
"Aprachalit","अप्रचलित","obsolete","outdated","outmoded",""
"Apratim","अप्रतिम","unrivalled","incomparable","unique",""
"Apratishtha","अप्रतिष्ठा","disgrace","dishonour","degradation",""
"Aprahrut","अप्रतिहत","unbroken","continious","",""
"Aprabhavhin","अप्रभावीत","uninfluenced","unaffected","",""
"Apraman","अप्रमाण","baseless","groundless","unsupported",""
"Apramadshil","अप्रमादशील","unfalliable","","",""
"Aprasiddha","अप्रसिद्ध","obscure","little-known","unknown",""
"Aprastut","अप्रस्तुत","irrelevant","improper","inapt",""
"Aprapya","अप्राप्य","unattainable","unobtainable","",""
"Apramanik","अप्रामाणिक","dishonest","crooked","shady",""
"Aprasangik","अप्रासंगिक","irrelevant","inopportune","",""
"Apriya","अप्रिय","disaggreable","unpleasent","displeasing",""
"Aprup","अप्रूप","novel","singular","unusual",""
"Afaratfar","अफरातफर","ambezzlement","misappropriation","",""
"Afalatun","अफलातून","great","unusual","wonderful",""
"Afava","अफवा","a rumour","hearsay","wispher",""
"Afaat","अफाट","vast","huge","immense",""
"Afim","अफीम","opium","","",""
"Abkari","अबकारी","exise","","",""
"Amber","अंबर","amber","sky","",""
"Abala","अबला","a women","","",""
"Ambada","अंबाडा","a coil of hair","top-knot","",""
"Ambadi","अंबाडी","flax","","",""
"Abadhit","अबाधित","intact","","",""
"Ambari","अंबरी","a howdah wih canopy","","",""
"Abodh","अबोध","innocent","unconscious","",""
"Abol","अबोल","reticent","silent","",""
"Abja","अब्ज","a billion","one thousand million","",""
"Abru","अब्रू","honour","reputation","prestige",""
"Abrudaar","अब्रूदार","honourable","respectable","",""
"Abhang","अभंग","unbroken","a hymn","",""
"Abhadra","अभद्र","inauspicious","sinister","ominious",""
"Abhay","अभय","assurance of safety","freedom from fear","",""
"Abhagani","अभागणी","a hapeless women","","",""
"Abhav","अभाव","absence ","lack","want",""
"Abhavitpane","अभावितपणे","unwittingly","unconsciously","unknowingly",""
"Abhikarta","अभिकर्ता","an agent","","",""
"Abhijan","अभिजन","the elite","tocracy","nobility",""
"Abhijaat","अभिजात","aristocratic","noble","blue-blooded",""
